Feature,N,Mean_Diff_AI_minus_Raw,t,df,p,Cohens_d_paired,CI95_low,CI95_high,p_holm,significant_holm
Grammar_Errors,60,-8.495619301741336,-23.04346872129399,59,3.441386660984587e-31,-2.9748990198807714,-9.23334221847708,-7.7578963850055915,1.3765546643938349e-30,True
MTLD,60,34.340737405979084,29.129279622769488,59,1.0285495462706097e-36,3.7605738288668435,31.98174817866589,36.69972663329228,5.1427477313530483e-36,True
Stance_Markers,60,-2.7058526778813317,-19.416206295940352,59,2.6347782519727006e-27,-2.5066214543568193,-2.9847124417148247,-2.4269929140478386,7.904334755918102e-27,True
First_Person,60,-1.564884656868683,-11.979116831361196,59,1.937419773271109e-17,-1.5464973330044955,-1.8262834736360176,-1.3034858401013483,3.874839546542218e-17,True
Authenticity_Gap_Proxy,60,-0.7806266310510074,-5.211625980944241,59,2.5089873352334647e-06,-0.6728180210286313,-1.0803469652532467,-0.4809062968487681,2.5089873352334647e-06,True
